age,num_previous_recidivisms,race_Caucasian,race_Hispanic,race_Other,gender_Male,registeredSexOffender_TRUE,violentOffender_TRUE,gangMember_x_TRUE,homeless_TRUE,employmentStatus_Full_Time,employmentStatus_Part_Time,employmentStatus_Unemployed,HighestEducationLevel_High_School_Diploma,HighestEducationLevel_No_HS_Diploma,HighestEducationLevel_Some_College,licenseStatus_Not_Suspended,licenseStatus_Suspended,Recidivism
42,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0
37,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
62,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0
42,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
43,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0
44,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0
41,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
36,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
29,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
44,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
44,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
36,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0
34,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
40,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,1
47,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
21,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
71,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
26,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0
40,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1
28,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1
31,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1
31,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
18,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0
53,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
30,1,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1
45,0,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0
34,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
27,2,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,1,0
53,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0
37,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0
30,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,1
33,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
23,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,1
45,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
24,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1
32,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
36,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0
38,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0
25,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0
36,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0
32,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1
39,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
35,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
44,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0
39,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
60,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
26,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
58,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
55,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
65,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1
49,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
35,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
38,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,1
25,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
33,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
38,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,1
45,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0
68,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0
30,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1
53,1,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1
46,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
36,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
47,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0
42,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0
39,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
39,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
37,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1
35,6,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,1
26,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,1
26,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
24,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0
37,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0
46,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0
32,1,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1
37,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
33,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0
48,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
57,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0
42,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1
53,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0
28,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1
31,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0
34,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0
36,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
60,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
33,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1
32,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
22,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,1,0,0
32,2,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1
62,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
44,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0
33,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0
34,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
37,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0
39,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0
37,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
77,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
37,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1
20,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
58,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1
33,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
36,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1
22,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
32,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
39,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0
23,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,1
20,0,1,0,0,1,0,1,0,1,1,0,0,1,0,0,1,0,0
34,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0
38,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
33,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0
37,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
29,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
35,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1
38,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0
35,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0
41,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0
39,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0
42,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
25,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1
37,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
53,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0
34,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0
30,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,1,0,1
47,2,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0
63,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0
33,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
36,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0
30,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
42,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0
27,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
43,2,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1
63,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0
39,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0
32,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0
39,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
32,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0
29,1,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,1
34,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
27,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
32,6,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0
38,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
45,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1
51,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0
35,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,1
57,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0
53,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0
36,1,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0
38,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
36,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
47,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0
42,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
28,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1
46,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
39,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
37,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0
25,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0
28,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
29,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0
34,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0
34,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0
30,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
33,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
46,0,1,0,0,1,1,1,0,0,1,0,0,0,1,0,1,0,0
43,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
37,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
58,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0
42,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0
31,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
53,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0
29,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0
39,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
25,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
33,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0
25,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
26,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0
39,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0
40,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
45,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
35,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
33,4,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,1
60,1,1,0,0,1,0,1,0,0,0,0,1,1,0,0,1,0,1
39,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0
53,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0
26,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0
33,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
47,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
32,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
30,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1
41,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1
24,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
39,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
32,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
22,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
27,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
35,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0
34,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
43,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
29,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0
29,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
36,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
57,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0
31,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
23,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1
