,ocp_jl,ocp_wr,ocp_hd,class_mild,need,placement,ocp_jl_low_los,ocp_jl_total,ocp_wr_low_los,ocp_wr_total,ocp_hd_low_los,ocp_hd_total
0,,,,0,1,work release,157.0,189.0,91.0,144.0,140.0,140.0
1,,,,0,1,work release,157.0,189.0,91.0,144.0,140.0,140.0
2,,,,0,1,work release,157.0,189.0,91.0,144.0,140.0,140.0
3,,,,0,0,work release,157.0,189.0,91.0,144.0,140.0,140.0
4,,,,0,0,work release,157.0,189.0,91.0,144.0,140.0,140.0
5,,,,1,1,work release,157.0,189.0,91.0,144.0,140.0,140.0
6,,,,1,1,work release,157.0,189.0,91.0,144.0,140.0,140.0
7,,,,1,1,work release,157.0,189.0,91.0,144.0,140.0,140.0
8,,,,1,0,work release,157.0,189.0,91.0,144.0,140.0,140.0
9,,,,1,0,work release,157.0,189.0,91.0,144.0,140.0,140.0
10,,,,1,0,work release,157.0,189.0,91.0,144.0,140.0,140.0
11,,,,1,0,work release,157.0,189.0,91.0,144.0,140.0,140.0
12,,,,1,0,work release,157.0,189.0,91.0,144.0,140.0,140.0
13,,,,1,0,work release,157.0,189.0,91.0,144.0,140.0,140.0
14,,,,1,0,work release,157.0,189.0,91.0,144.0,140.0,140.0
15,,,,1,0,work release,157.0,189.0,91.0,144.0,140.0,140.0
16,,,,1,0,work release,157.0,189.0,91.0,144.0,140.0,140.0
17,,,,1,0,work release,157.0,189.0,91.0,144.0,140.0,140.0
18,,,,1,0,work release,157.0,189.0,91.0,144.0,140.0,140.0
19,,,,0,1,jail,156.0,190.0,107.0,161.0,140.0,140.0
20,,,,0,1,jail,156.0,190.0,107.0,161.0,140.0,140.0
21,,,,0,1,home detention,156.0,190.0,107.0,161.0,140.0,140.0
22,,,,0,0,jail,156.0,190.0,107.0,161.0,140.0,140.0
23,,,,1,1,home detention,156.0,190.0,107.0,161.0,140.0,140.0
24,,,,1,1,home detention,156.0,190.0,107.0,161.0,140.0,140.0
