,ocp_jl_low_los,ocp_jl_total,ocp_wr_low_los,ocp_wr_total,ocp_hd_low_los,ocp_hd_total,class_mild,need,placement
0,161,190,100,155,131,131,0,1,jail
1,161,190,100,155,131,131,0,1,home detention
2,161,190,100,155,131,131,0,0,jail
3,161,190,100,155,131,131,0,0,jail
4,161,190,100,155,131,131,1,1,jail
5,161,190,100,155,131,131,1,1,home detention
6,161,190,100,155,131,131,1,1,home detention
7,161,190,100,155,131,131,1,0,jail
8,161,190,100,155,131,131,1,0,jail
9,161,190,100,155,131,131,1,0,jail
10,161,190,100,155,131,131,1,0,jail
11,161,190,100,155,131,131,1,0,jail
12,161,190,100,155,131,131,1,0,jail
13,161,190,100,155,131,131,1,0,jail
14,161,190,100,155,131,131,1,0,jail
15,161,190,100,155,131,131,1,0,home detention
16,161,190,100,155,131,131,1,0,home detention
17,161,190,100,155,131,131,1,0,home detention
18,171,203,100,151,136,136,0,1,jail
19,171,203,100,151,136,136,0,1,jail
20,171,203,100,151,136,136,0,1,home detention
21,171,203,100,151,136,136,0,0,home detention
22,171,203,100,151,136,136,1,1,jail
23,171,203,100,151,136,136,1,1,home detention
24,171,203,100,151,136,136,1,0,jail
25,173,206,100,148,140,140,0,1,work release
26,173,206,100,148,140,140,0,1,work release
27,173,206,100,148,140,140,1,1,work release
28,173,206,100,148,140,140,1,1,work release
29,173,206,100,148,140,140,1,1,work release
30,173,206,100,148,140,140,1,0,work release
31,173,206,100,148,140,140,1,0,work release
32,173,206,100,148,140,140,1,0,work release
33,170,206,99,150,140,140,0,1,home detention
34,170,206,99,150,140,140,0,0,home detention
35,170,206,99,150,140,140,1,1,home detention
36,170,206,99,150,140,140,1,1,home detention
37,170,206,99,150,140,140,1,1,home detention
38,170,206,99,150,140,140,1,1,home detention
39,170,206,99,150,140,140,1,0,jail
40,170,206,99,150,140,140,1,0,home detention
41,170,206,99,150,140,140,1,0,home detention
42,170,206,99,150,140,140,1,0,home detention
43,162,207,99,142,148,148,0,1,work release
44,162,207,99,142,148,148,0,1,work release
45,162,207,99,142,148,148,1,1,work release
46,162,207,99,142,148,148,1,1,work release
47,162,207,99,142,148,148,1,1,work release
48,162,207,99,142,148,148,1,1,work release
49,162,207,99,142,148,148,1,1,work release
