,ocp_jl,ocp_wr,ocp_hd  ,class_mild,need,placement
0,178,142,139,0,1,work release
1,178,142,139,0,1,work release
2,178,142,139,0,0,work release
3,178,142,139,0,0,work release
4,178,142,139,1,1,work release
5,178,142,139,1,1,work release
6,178,142,139,1,1,work release
7,178,142,139,1,0,work release
8,178,142,139,1,0,work release
9,178,142,139,1,0,work release
10,178,142,139,1,0,work release
11,178,142,139,1,0,work release
12,178,142,139,1,0,work release
13,178,142,139,1,0,work release
14,178,142,139,1,0,work release
15,178,142,139,1,0,work release
16,178,142,139,1,0,work release
17,178,142,139,1,0,work release
18,178,155,139,0,1,home detention
19,178,155,139,0,1,home detention
20,178,155,139,0,1,home detention
21,178,155,139,0,0,jail
22,178,155,139,1,1,jail
23,178,155,139,1,1,home detention
24,178,155,139,1,0,home detention
25,180,150,144,0,1,jail
26,180,150,144,0,1,home detention
27,180,150,144,1,1,home detention
28,180,150,144,1,1,home detention
29,180,150,144,1,1,home detention
30,180,150,144,1,0,jail
31,180,150,144,1,0,jail
32,180,150,144,1,0,home detention
33,185,143,147,0,1,work release
34,185,143,147,0,1,work release
35,185,143,147,0,0,work release
36,185,143,147,1,1,work release
37,185,143,147,1,1,work release
38,185,143,147,1,1,work release
39,185,143,147,1,1,work release
40,185,143,147,1,0,work release
41,185,143,147,1,0,work release
42,185,143,147,1,0,work release
43,185,143,147,1,0,work release
44,184,148,148,0,1,work release
45,184,148,148,0,1,work release
46,184,148,148,1,1,work release
47,184,148,148,1,1,work release
48,184,148,148,1,1,work release
49,184,148,148,1,1,work release
50,184,148,148,1,0,work release
51,184,148,148,1,0,work release
52,184,148,148,1,0,work release
53,184,148,148,1,0,work release
54,184,154,149,0,1,home detention
55,184,154,149,0,0,jail
56,184,154,149,0,0,jail
57,184,154,149,1,0,home detention
58,184,154,149,1,0,home detention
59,184,154,149,1,0,home detention
60,186,147,152,0,0,work release
61,186,147,152,1,1,work release
62,186,147,152,1,1,work release
63,186,147,152,1,1,work release
64,186,147,152,1,0,work release
65,186,147,152,1,0,work release
66,186,153,152,0,1,jail
67,186,153,152,0,1,home detention
68,186,153,152,1,1,home detention
69,186,153,152,1,1,home detention
70,186,153,152,1,1,home detention
71,186,153,152,1,1,home detention
72,186,153,152,1,0,home detention
73,187,153,158,0,1,jail
74,187,153,158,0,1,jail
75,187,153,158,0,1,jail
76,187,153,158,0,1,home detention
77,187,153,158,0,0,jail
