c_occu_jail,c_occu_wr,c_occu_hd,c_vio,ocp_jl_low_los,ocp_jl_total,ocp_wr_low_los,ocp_wr_total,ocp_hd_low_los,ocp_hd_total,class_mild,need,placement
0.00144,0.00043200000000000004,0.00043200000000000004,0.5,158,179,129,143,158,158,0,1,work release
0.00144,0.00043200000000000004,0.00043200000000000004,0.5,158,179,129,143,158,158,1,1,work release
0.00144,0.00043200000000000004,0.00043200000000000004,0.5,158,179,129,143,158,158,1,1,work release
0.00144,0.00043200000000000004,0.00043200000000000004,0.5,158,179,129,143,158,158,1,1,work release
0.00144,0.00043200000000000004,0.00043200000000000004,0.5,158,179,129,143,158,158,1,1,work release
0.00144,0.00043200000000000004,0.00043200000000000004,0.5,158,179,129,143,158,158,1,1,work release
0.00144,0.00043200000000000004,0.00043200000000000004,0.5,158,179,129,143,158,158,1,1,work release
0.00144,0.00043200000000000004,0.00043200000000000004,0.5,158,179,129,143,158,158,1,1,work release
0.00144,0.00043200000000000004,0.00043200000000000004,0.5,156,180,123,149,157,157,0,1,jail
0.00144,0.00043200000000000004,0.00043200000000000004,0.5,156,180,123,149,157,157,0,1,jail
0.00144,0.00043200000000000004,0.00043200000000000004,0.5,156,180,123,149,157,157,0,1,jail
0.00144,0.00043200000000000004,0.00043200000000000004,0.5,156,180,123,149,157,157,1,1,home detention
0.00144,0.00043200000000000004,0.00043200000000000004,0.5,156,180,123,149,157,157,1,1,home detention
0.00144,0.00043200000000000004,0.00043200000000000004,0.5,156,180,123,149,157,157,1,1,home detention
0.00144,0.00043200000000000004,0.00043200000000000004,0.5,156,180,123,149,157,157,1,1,home detention
0.00144,0.00043200000000000004,0.00043200000000000004,0.5,156,180,123,149,157,157,1,1,home detention
0.00144,0.00043200000000000004,0.00043200000000000004,0.5,156,180,123,149,157,157,1,1,home detention
0.00144,0.00043200000000000004,0.00043200000000000004,0.5,156,180,123,149,157,157,1,1,home detention
0.00144,0.00043200000000000004,0.00043200000000000004,0.5,156,180,123,149,157,157,1,1,home detention
0.00144,0.00043200000000000004,0.00043200000000000004,0.5,156,180,123,149,157,157,1,1,home detention
0.00144,0.00043200000000000004,0.00043200000000000004,0.5,156,180,123,149,157,157,1,1,home detention
0.00144,0.00043200000000000004,0.00043200000000000004,0.5,151,184,125,141,167,167,0,1,work release
0.00144,0.00043200000000000004,0.00043200000000000004,0.5,151,184,125,141,167,167,0,1,work release
0.00144,0.00043200000000000004,0.00043200000000000004,0.5,151,184,125,141,167,167,1,1,work release
0.00144,0.00043200000000000004,0.00043200000000000004,0.5,151,184,125,141,167,167,1,1,work release
0.00144,0.00043200000000000004,0.00043200000000000004,0.5,151,184,125,141,167,167,1,1,work release
0.00144,0.00043200000000000004,0.00043200000000000004,0.5,151,184,125,141,167,167,1,1,work release
0.00144,0.00043200000000000004,0.00043200000000000004,0.5,151,184,125,141,167,167,1,1,work release
0.00144,0.00043200000000000004,0.00043200000000000004,0.5,151,184,125,141,167,167,1,1,work release
