c_occu_jail,c_occu_wr,c_occu_hd,c_vio,ocp_jl_low_los,ocp_jl_total,ocp_wr_low_los,ocp_wr_total,ocp_hd_low_los,ocp_hd_total,class_mild,need,placement
0.00144,0.00043200000000000004,0.00043200000000000004,0.5,158,179,129,143,158,158,0,1,work release
0.00144,0.00043200000000000004,0.00043200000000000004,0.5,158,179,130,144,158,158,1,1,work release
0.00144,0.00043200000000000004,0.00043200000000000004,0.5,158,179,131,145,158,158,1,1,work release
0.00144,0.00043200000000000004,0.00043200000000000004,0.5,158,179,132,146,158,158,1,1,work release
0.00144,0.00043200000000000004,0.00043200000000000004,0.5,158,179,133,147,158,158,1,1,work release
0.00144,0.00043200000000000004,0.00043200000000000004,0.5,158,179,134,148,158,158,1,1,work release
0.00144,0.00043200000000000004,0.00043200000000000004,0.5,158,179,135,149,158,158,1,1,work release
0.00144,0.00043200000000000004,0.00043200000000000004,0.5,158,179,136,150,158,158,1,1,work release
0.00144,0.00043200000000000004,0.00043200000000000004,0.5,156,180,123,149,157,157,0,1,jail
0.00144,0.00043200000000000004,0.00043200000000000004,0.5,157,181,123,149,157,157,0,1,jail
0.00144,0.00043200000000000004,0.00043200000000000004,0.5,158,182,123,149,157,157,0,1,jail
0.00144,0.00043200000000000004,0.00043200000000000004,0.5,159,183,123,149,157,157,1,1,home detention
0.00144,0.00043200000000000004,0.00043200000000000004,0.5,159,183,123,149,158,158,1,1,home detention
0.00144,0.00043200000000000004,0.00043200000000000004,0.5,159,183,123,149,159,159,1,1,home detention
0.00144,0.00043200000000000004,0.00043200000000000004,0.5,159,183,123,149,160,160,1,1,home detention
0.00144,0.00043200000000000004,0.00043200000000000004,0.5,159,183,123,149,161,161,1,1,home detention
0.00144,0.00043200000000000004,0.00043200000000000004,0.5,159,183,123,149,162,162,1,1,home detention
0.00144,0.00043200000000000004,0.00043200000000000004,0.5,159,183,123,149,163,163,1,1,home detention
0.00144,0.00043200000000000004,0.00043200000000000004,0.5,159,183,123,149,164,164,1,1,home detention
0.00144,0.00043200000000000004,0.00043200000000000004,0.5,159,183,123,149,165,165,1,1,home detention
0.00144,0.00043200000000000004,0.00043200000000000004,0.5,159,183,123,149,166,166,1,1,home detention
0.00144,0.00043200000000000004,0.00043200000000000004,0.5,151,184,125,141,167,167,0,1,work release
0.00144,0.00043200000000000004,0.00043200000000000004,0.5,151,184,126,142,167,167,0,1,work release
0.00144,0.00043200000000000004,0.00043200000000000004,0.5,151,184,127,143,167,167,1,1,work release
0.00144,0.00043200000000000004,0.00043200000000000004,0.5,151,184,128,144,167,167,1,1,work release
