c_occu_jail,c_occu_wr,c_occu_hd,c_vio,ocp_jl_low_los,ocp_jl_total,ocp_wr_low_los,ocp_wr_total,ocp_hd_low_los,ocp_hd_total,class_mild,need,placement
0.00144,0.00043200000000000004,0.00043200000000000004,0.5,146,160,156,242,75,75,0,1,jail
0.00144,0.00043200000000000004,0.00043200000000000004,0.5,147,161,156,242,75,75,1,1,work release
0.00144,0.00043200000000000004,0.00043200000000000004,0.5,147,161,157,243,75,75,1,1,work release
0.00144,0.00043200000000000004,0.00043200000000000004,0.5,147,161,158,244,75,75,1,1,work release
0.00144,0.00043200000000000004,0.00043200000000000004,0.5,147,161,159,245,75,75,1,1,work release
0.00144,0.00043200000000000004,0.00043200000000000004,0.5,147,161,160,246,75,75,1,1,work release
0.00144,0.00043200000000000004,0.00043200000000000004,0.5,147,161,161,247,75,75,1,1,work release
0.00144,0.00043200000000000004,0.00043200000000000004,0.5,147,161,162,248,75,75,1,1,work release
0.00144,0.00043200000000000004,0.00043200000000000004,0.5,145,161,153,245,75,75,0,1,jail
0.00144,0.00043200000000000004,0.00043200000000000004,0.5,146,162,153,245,75,75,0,1,jail
0.00144,0.00043200000000000004,0.00043200000000000004,0.5,147,163,153,245,75,75,0,1,jail
0.00144,0.00043200000000000004,0.00043200000000000004,0.5,148,164,153,245,75,75,1,1,work release
0.00144,0.00043200000000000004,0.00043200000000000004,0.5,148,164,154,246,75,75,1,1,work release
0.00144,0.00043200000000000004,0.00043200000000000004,0.5,148,164,155,247,75,75,1,1,work release
0.00144,0.00043200000000000004,0.00043200000000000004,0.5,148,164,156,248,75,75,1,1,work release
0.00144,0.00043200000000000004,0.00043200000000000004,0.5,148,164,157,249,75,75,1,1,work release
0.00144,0.00043200000000000004,0.00043200000000000004,0.5,148,164,158,250,75,75,1,1,work release
0.00144,0.00043200000000000004,0.00043200000000000004,0.5,148,164,159,251,75,75,1,1,work release
0.00144,0.00043200000000000004,0.00043200000000000004,0.5,148,164,160,252,75,75,1,1,work release
0.00144,0.00043200000000000004,0.00043200000000000004,0.5,144,164,161,244,75,75,0,1,home detention
0.00144,0.00043200000000000004,0.00043200000000000004,0.5,144,164,161,244,76,76,0,1,home detention
0.00144,0.00043200000000000004,0.00043200000000000004,0.5,144,164,161,244,77,77,1,1,work release
0.00144,0.00043200000000000004,0.00043200000000000004,0.5,144,164,162,245,77,77,1,1,work release
0.00144,0.00043200000000000004,0.00043200000000000004,0.5,144,164,163,246,77,77,1,1,work release
